transaction_id,timestamp,sender_account,receiver_account,amount,sender_ip,receiver_ip,transaction_type,country,is_fraud,fraud_pattern
TXN_EECD09D937D3,2026-08-15T00:12:26.365203,ACC_00669,ACC_00347,3921.02,142.92.139.55,53.166.57.244,TRANSFER,GB,False,
TXN_04A453F18A0B,2026-08-15T00:13:05.365203,ACC_00728,ACC_00589,1001.28,108.237.7.243,122.152.22.222,TRANSFER,SG,False,
TXN_59DE459DAA2C,2026-08-15T00:14:48.365203,ACC_00255,ACC_00308,2403.7,151.72.80.108,207.67.192.146,TRANSFER,GB,False,
TXN_64BCD874A8A3,2026-08-15T00:18:07.365203,ACC_00067,ACC_00434,30880.68,145.165.11.224,196.80.106.233,TRANSFER,SG,False,
TXN_55D0739F1A4A,2026-08-15T00:21:43.365203,ACC_00776,ACC_00151,33077.98,155.139.232.182,208.238.178.91,TRANSFER,SG,False,
TXN_E02AF96D7C39,2026-08-15T00:26:05.365203,ACC_00332,ACC_00080,44808.07,168.163.58.54,180.10.144.243,TRANSFER,IN,False,
TXN_035D3D18C28D,2026-08-15T00:27:45.365203,ACC_00874,ACC_00032,31001.91,72.174.72.252,147.127.99.44,TRANSFER,GB,False,
TXN_943A3FF357A2,2026-08-15T00:32:49.365203,ACC_00515,ACC_00991,28736.13,180.179.215.101,120.76.250.105,TRANSFER,US,False,
TXN_E80D8167A3E0,2026-08-15T00:38:30.365203,ACC_00350,ACC_00192,49052.53,144.122.118.233,12.138.1.132,TRANSFER,IN,False,
TXN_99911E82B3EF,2026-08-15T00:53:41.365203,ACC_00052,ACC_00258,6972.17,134.47.35.75,82.211.67.173,TRANSFER,IN,False,
TXN_77F8DC0A0E82,2026-08-15T00:55:09.365203,ACC_00855,ACC_00430,30176.87,83.20.2.61,154.245.24.46,TRANSFER,GB,False,
TXN_D0411D376B07,2026-08-15T00:59:16.365203,ACC_00319,ACC_00488,23527.4,45.25.28.20,42.187.0.169,TRANSFER,US,False,
TXN_69FC69DFB60F,2026-08-15T01:03:04.365203,ACC_00470,ACC_00447,46983.43,95.50.48.164,7.105.126.244,TRANSFER,IN,False,
TXN_B672A3A07FFC,2026-08-15T01:09:29.365203,ACC_00956,ACC_00039,33263.83,39.64.139.6,156.9.202.44,TRANSFER,IN,False,
TXN_05A323BCFFA5,2026-08-15T01:12:45.365203,ACC_00080,ACC_00111,44956.21,180.10.144.243,142.158.31.51,TRANSFER,IN,False,
TXN_6F09AD8E57F2,2026-08-15T01:15:56.365203,ACC_00044,ACC_00814,19474.53,62.113.13.146,40.167.116.88,TRANSFER,IN,False,
TXN_5F31E79CF63A,2026-08-15T01:20:32.365203,ACC_00626,ACC_00183,42207.64,137.150.55.253,121.248.130.73,TRANSFER,IN,False,
TXN_2B45AB3202BC,2026-08-15T01:29:17.365203,ACC_00674,ACC_00891,27175.42,26.146.20.40,14.2.88.122,TRANSFER,SG,False,
TXN_EB10BFAB5156,2026-08-15T01:32:03.365203,ACC_00144,ACC_00431,48411.66,8.32.116.107,151.83.201.137,TRANSFER,IN,False,
